run,alignments_in_new_total,alignments_in_old_total,average_end_difference,average_start_difference,average_start_or_end_difference,combined_in_new,end_did_not_change,ends_earlier_in_new,ends_later_in_new,evaluated_alignments_in_new,evaluated_alignments_in_old,max_end_difference,max_start_difference,median_end_difference,median_start_difference,min_end_difference,min_start_difference,not_in_new,not_in_new_plus_not_in_old,not_in_old,split_in_new,start_did_not_change,start_or_end_did_not_change,starts_earlier_in_new,starts_later_in_new,score
10_40_500_36_float,2147,1657,23.07190635451505,10.382943143812707,16.72742474916388,0,264,95,239,389,345,924,653,0.0,-1.0,-656,-382,15,216,201,18,1,265,461,136,120.0
2_50_700_36_nonfl,1787,1657,8.04152249134948,2.314878892733564,5.178200692041521,0,127,222,229,345,345,717,631,0.0,-1.0,-999,-700,15,168,153,8,83,210,365,130,120.0
2_50_500_36_nonfl,1817,1657,8.296875,6.494791666666668,7.395833333333334,0,124,220,232,347,345,717,650,0.0,-1.0,-999,-500,15,169,154,10,83,207,361,132,120.0
10_30_500_36_float,2214,1657,29.84333333333333,8.003333333333334,18.92333333333333,0,260,92,248,402,345,924,653,0.0,-1.0,-398,-382,15,225,210,23,1,261,463,136,120.0
10_30_300_36_float,2338,1657,71.36333333333333,12.135,41.74916666666667,0,250,77,273,425,345,1596,629,0.0,-1.0,-403,-255,15,228,213,41,1,251,458,141,120.0
8_50_700_36_float,1884,1657,13.174061433447099,10.791808873720136,11.982935153583616,0,274,93,219,360,345,895,629,0.0,-1.0,-998,-382,15,186,171,10,1,275,449,136,120.0
2_60_700_36_float,1625,1657,13.790940766550523,10.16898954703833,11.979965156794426,0,280,85,209,329,345,895,636,0.0,-1.0,-998,-382,15,137,122,7,0,280,439,135,120.0
10_30_700_36_float,2162,1657,23.53,7.753333333333333,15.641666666666667,0,270,94,236,394,345,924,629,0.0,-1.0,-398,-382,15,221,206,17,1,271,463,136,120.0
6_60_700_36_float,1617,1657,14.210526315789476,11.001754385964912,12.606140350877194,0,278,83,209,327,345,895,636,0.0,-1.0,-998,-382,15,137,122,7,0,278,435,135,120.0
4_60_500_28_nonfl,1839,1657,37.066558441558435,0.15097402597402598,18.608766233766232,0,124,218,274,366,345,1275,959,0.0,-1.0,-817,-500,10,134,124,19,75,199,405,136,120.0
4_60_500_36_float,1645,1657,15.410526315789475,13.156140350877195,14.283333333333333,0,272,85,213,330,345,895,653,0.0,-1.0,-998,-382,15,138,123,9,0,272,433,137,120.0
10_40_300_36_float,2248,1657,56.87458193979933,17.043478260869566,36.95903010033445,0,256,85,257,407,345,1596,629,0.0,-1.0,-656,-255,15,218,203,32,1,257,454,143,120.0
6_60_500_36_float,1641,1657,15.84452296819788,14.015901060070671,14.930212014134275,0,270,83,213,328,345,895,653,0.0,-1.0,-998,-382,15,138,123,9,0,270,429,137,120.0
2_60_500_36_float,1649,1657,15.410526315789475,13.156140350877195,14.283333333333333,0,272,85,213,330,345,895,653,0.0,-1.0,-998,-382,15,138,123,9,0,272,433,137,120.0
8_50_500_36_float,1917,1657,12.223549488054607,13.621160409556316,12.922354948805461,0,266,97,223,364,345,895,653,0.0,-1.0,-998,-382,15,188,173,12,1,267,447,138,120.0
2_70_500_28_nonfl,1751,1657,35.50983606557377,-0.7524590163934426,18.13114754098361,0,126,218,266,353,345,1275,959,0.0,-1.0,-817,-500,11,126,115,17,73,199,402,135,130.0
4_60_300_28_nonfl,1873,1657,46.0702614379085,7.936274509803924,27.00326797385621,0,120,214,278,371,345,1275,959,0.0,-1.0,-817,-300,10,133,123,27,78,198,388,146,130.0
8_50_500_20_nonfl,2373,1657,62.53463855421687,-16.996987951807228,39.76581325301205,1,127,203,334,456,345,1275,959,1.0,-1.0,-495,-645,2,197,195,40,76,203,472,116,130.0
4_70_700_28_nonfl,1689,1657,38.09375,-7.534539473684211,22.814144736842106,0,127,214,267,345,345,1275,959,0.0,-1.0,-682,-756,12,116,104,16,73,200,404,131,130.0
