,run,score,min-match,min-align,gap,ngrams,ngram-type
576,6_30_100_20_nonfl,15910,6,30,100,20,nonfl
660,6_30_100_28_float,33560,6,30,100,28,float
455,6_30_100_28_nonfl,6000,6,30,100,28,nonfl
515,6_30_100_36_float,9780,6,30,100,36,float
359,6_30_100_36_nonfl,1680,6,30,100,36,nonfl
773,6_30_300_12_float,92360,6,30,300,12,float
656,6_30_300_12_nonfl,32760,6,30,300,12,nonfl
710,6_30_300_20_float,49580,6,30,300,20,float
519,6_30_300_20_nonfl,9890,6,30,300,20,nonfl
633,6_30_300_28_float,25400,6,30,300,28,float
87,6_30_300_28_nonfl,80,6,30,300,28,nonfl
361,6_30_300_36_float,1720,6,30,300,36,float
211,6_30_300_36_nonfl,270,6,30,300,36,nonfl
784,6_30_500_12_float,109890,6,30,500,12,float
658,6_30_500_12_nonfl,32995,6,30,500,12,nonfl
707,6_30_500_20_float,48780,6,30,500,20,float
500,6_30_500_20_nonfl,8730,6,30,500,20,nonfl
624,6_30_500_28_float,23670,6,30,500,28,float
79,6_30_500_28_nonfl,70,6,30,500,28,nonfl
209,6_30_500_36_float,270,6,30,500,36,float
207,6_30_500_36_nonfl,260,6,30,500,36,nonfl
788,6_30_700_12_float,124200,6,30,700,12,float
661,6_30_700_12_nonfl,33635,6,30,700,12,nonfl
706,6_30_700_20_float,48670,6,30,700,20,float
490,6_30_700_20_nonfl,8260,6,30,700,20,nonfl
622,6_30_700_28_float,22930,6,30,700,28,float
72,6_30_700_28_nonfl,60,6,30,700,28,nonfl
13,6_30_700_36_float,10,6,30,700,36,float
197,6_30_700_36_nonfl,240,6,30,700,36,nonfl
700,6_40_100_12_float,46820,6,40,100,12,float
632,6_40_100_12_nonfl,25380,6,40,100,12,nonfl
603,6_40_100_20_float,19130,6,40,100,20,float
529,6_40_100_20_nonfl,10755,6,40,100,20,nonfl
556,6_40_100_28_float,14020,6,40,100,28,float
366,6_40_100_28_nonfl,1830,6,40,100,28,nonfl
469,6_40_100_36_float,7120,6,40,100,36,float
310,6_40_100_36_nonfl,840,6,40,100,36,nonfl
743,6_40_300_12_float,64530,6,40,300,12,float
627,6_40_300_12_nonfl,24500,6,40,300,12,nonfl
579,6_40_300_20_float,16110,6,40,300,20,float
461,6_40_300_20_nonfl,6520,6,40,300,20,nonfl
502,6_40_300_28_float,8790,6,40,300,28,float
110,6_40_300_28_nonfl,100,6,40,300,28,nonfl
264,6_40_300_36_float,530,6,40,300,36,float
208,6_40_300_36_nonfl,270,6,40,300,36,nonfl
765,6_40_500_12_float,82520,6,40,500,12,float
631,6_40_500_12_nonfl,25355,6,40,500,12,nonfl
578,6_40_500_20_float,16060,6,40,500,20,float
453,6_40_500_20_nonfl,5890,6,40,500,20,nonfl
483,6_40_500_28_float,7810,6,40,500,28,float
106,6_40_500_28_nonfl,90,6,40,500,28,nonfl
21,6_40_500_36_float,10,6,40,500,36,float
205,6_40_500_36_nonfl,260,6,40,500,36,nonfl
776,6_40_700_12_float,96710,6,40,700,12,float
639,6_40_700_12_nonfl,26220,6,40,700,12,nonfl
582,6_40_700_20_float,16350,6,40,700,20,float
449,6_40_700_20_nonfl,5570,6,40,700,20,nonfl
474,6_40_700_28_float,7370,6,40,700,28,float
92,6_40_700_28_nonfl,80,6,40,700,28,nonfl
17,6_40_700_36_float,10,6,40,700,36,float
199,6_40_700_36_nonfl,240,6,40,700,36,nonfl
662,6_50_100_12_float,33665,6,50,100,12,float
594,6_50_100_12_nonfl,18410,6,50,100,12,nonfl
512,6_50_100_20_float,9650,6,50,100,20,float
438,6_50_100_20_nonfl,4950,6,50,100,20,nonfl
353,6_50_100_28_float,1570,6,50,100,28,float
280,6_50_100_28_nonfl,630,6,50,100,28,nonfl
300,6_50_100_36_float,730,6,50,100,36,float
272,6_50_100_36_nonfl,560,6,50,100,36,nonfl
723,6_50_300_12_float,51930,6,50,300,12,float
599,6_50_300_12_nonfl,18735,6,50,300,12,nonfl
478,6_50_300_20_float,7700,6,50,300,20,float
360,6_50_300_20_nonfl,1700,6,50,300,20,nonfl
33,6_50_300_28_float,20,6,50,300,28,float
111,6_50_300_28_nonfl,110,6,50,300,28,nonfl
115,6_50_300_36_float,110,6,50,300,36,float
212,6_50_300_36_nonfl,270,6,50,300,36,nonfl
751,6_50_500_12_float,69910,6,50,500,12,float
609,6_50_500_12_nonfl,20055,6,50,500,12,nonfl
485,6_50_500_20_float,7890,6,50,500,20,float
335,6_50_500_20_nonfl,1320,6,50,500,20,nonfl
48,6_50_500_28_float,20,6,50,500,28,float
109,6_50_500_28_nonfl,100,6,50,500,28,nonfl
104,6_50_500_36_float,90,6,50,500,36,float
210,6_50_500_36_nonfl,270,6,50,500,36,nonfl
767,6_50_700_12_float,83990,6,50,700,12,float
612,6_50_700_12_nonfl,21000,6,50,700,12,nonfl
491,6_50_700_20_float,8330,6,50,700,20,float
327,6_50_700_20_nonfl,1150,6,50,700,20,nonfl
20,6_50_700_28_float,10,6,50,700,28,float
95,6_50_700_28_nonfl,90,6,50,700,28,nonfl
98,6_50_700_36_float,90,6,50,700,36,float
196,6_50_700_36_nonfl,240,6,50,700,36,nonfl
625,6_60_100_12_float,24440,6,60,100,12,float
544,6_60_100_12_nonfl,12755,6,60,100,12,nonfl
